Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_XRP,Volume_USD
2021-01-19,Coinbase,XRP/USD,0.2841,0.3298,0.2856,0.3023,213778210.619849,64625153.07038035
2021-01-18,Coinbase,XRP/USD,0.2714,0.289,0.2772,0.2856,139514993.113849,39845482.03331528
2021-01-17,Coinbase,XRP/USD,0.2684,0.2856,0.279,0.2773,104070149.969806,28858652.586627204
2021-01-16,Coinbase,XRP/USD,0.2754,0.2968,0.28,0.2792,126765419.661432,35392905.169471815
2021-01-15,Coinbase,XRP/USD,0.2614,0.3028,0.2962,0.28,164891476.994778,46169613.55853785
2021-01-14,Coinbase,XRP/USD,0.2832,0.309,0.3059,0.2963,182130051.673068,53965134.31073005
2021-01-13,Coinbase,XRP/USD,0.2843,0.3104,0.2922,0.3059,194496967.271808,59496622.28844607
2021-01-12,Coinbase,XRP/USD,0.2773,0.31,0.2878,0.2922,209628806.549122,61253537.273653455
2021-01-11,Coinbase,XRP/USD,0.2514,0.3165,0.3151,0.2878,415488383.899836,119577556.8863728
2021-01-10,Coinbase,XRP/USD,0.2851,0.3692,0.3255,0.315,332171524.04283,104634030.07349144
2021-01-09,Coinbase,XRP/USD,0.3055,0.3407,0.3207,0.3255,244289580.61643,79516258.49064797
2021-01-08,Coinbase,XRP/USD,0.2845,0.3467,0.324,0.3209,394869914.18441,126713755.46177717
2021-01-07,Coinbase,XRP/USD,0.246,0.3708,0.2492,0.3238,920087001.932248,297924171.2256619
2021-01-06,Coinbase,XRP/USD,0.222,0.2771,0.2263,0.2492,535214619.928629,133375483.28621437
2021-01-05,Coinbase,XRP/USD,0.218,0.2428,0.236,0.2262,305698082.59578,69148906.28316544
2021-01-04,Coinbase,XRP/USD,0.2166,0.262,0.2255,0.2359,375296737.170826,88532500.29859786
2021-01-03,Coinbase,XRP/USD,0.2155,0.2386,0.2209,0.2253,279095285.460615,62880167.81427655
2021-01-02,Coinbase,XRP/USD,0.2115,0.2389,0.2381,0.2208,235365000.616917,51968592.13621528
